Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Charles & Colvard,646530,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100178-g-zz-zzz-zz-rd-m-1200,7925.4,Round,12,F,Brilliant,,,Lab Grown
Charles & Colvard,646531,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100178-g-zz-zzz-zz-rd-m-1200,7528.5,Round,12,G,Brilliant,,,Lab Grown
Charles & Colvard,673210,https://www.charlesandcolvard.com/round-moissanite-forever-one-gemstone-101332-zz-zzz-zz-rd-m-0401,1828.4,Round,4.01,DEF,Old European,,,Lab Grown
Charles & Colvard,673211,https://www.charlesandcolvard.com/round-moissanite-forever-one-gemstone-101332-zz-zzz-zz-rd-m-0401,1480.5,Round,4.01,GH,Old European,,,Lab Grown
Charles & Colvard,673219,https://www.charlesandcolvard.com/half-moon-moissanite-forever-one-gemstone-101333-zz-zzz-zz-zz-m-0025,67.9,half moon,0.25,DEF,Brilliant,,,Lab Grown
Charles & Colvard,673220,https://www.charlesandcolvard.com/half-moon-moissanite-forever-one-gemstone-101333-zz-zzz-zz-zz-m-0025,56,half moon,0.25,GH,Brilliant,,,Lab Grown
Charles & Colvard,673228,https://www.charlesandcolvard.com/half-moon-moissanite-forever-one-gemstone-101333-zz-zzz-zz-zz-m-0036,98,half moon,0.36,DEF,Brilliant,,,Lab Grown
Charles & Colvard,673229,https://www.charlesandcolvard.com/half-moon-moissanite-forever-one-gemstone-101333-zz-zzz-zz-zz-m-0036,80.5,half moon,0.36,GH,Brilliant,,,Lab Grown
Charles & Colvard,673237,https://www.charlesandcolvard.com/half-moon-moissanite-forever-one-gemstone-101333-zz-zzz-zz-zz-m-0030,79.8,half moon,0.3,DEF,Brilliant,,,Lab Grown
Charles & Colvard,673238,https://www.charlesandcolvard.com/half-moon-moissanite-forever-one-gemstone-101333-zz-zzz-zz-zz-m-0030,66.5,half moon,0.3,GH,Brilliant,,,Lab Grown
Charles & Colvard,673309,https://www.charlesandcolvard.com/elongated-cushion-moissanite-forever-one-gemstone-101334-zz-zzz-zz-cu-m-0100,372.4,elongated cushion,1,DEF,Brilliant,,,Lab Grown
Charles & Colvard,673310,https://www.charlesandcolvard.com/elongated-cushion-moissanite-forever-one-gemstone-101334-zz-zzz-zz-cu-m-0100,324.8,elongated cushion,1,GH,Brilliant,,,Lab Grown
Charles & Colvard,673318,https://www.charlesandcolvard.com/elongated-cushion-moissanite-forever-one-gemstone-101334-zz-zzz-zz-cu-m-0150,572.6,elongated cushion,1.5,DEF,Brilliant,,,Lab Grown
Charles & Colvard,673319,https://www.charlesandcolvard.com/elongated-cushion-moissanite-forever-one-gemstone-101334-zz-zzz-zz-cu-m-0150,501.9,elongated cushion,1.5,GH,Brilliant,,,Lab Grown
Charles & Colvard,673327,https://www.charlesandcolvard.com/elongated-cushion-moissanite-forever-one-gemstone-101334-zz-zzz-zz-cu-m-0230,1001,elongated cushion,2.3,DEF,Brilliant,,,Lab Grown
Charles & Colvard,673328,https://www.charlesandcolvard.com/elongated-cushion-moissanite-forever-one-gemstone-101334-zz-zzz-zz-cu-m-0230,865.2,elongated cushion,2.3,GH,Brilliant,,,Lab Grown
Charles & Colvard,646600,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100383-g-zz-zzz-zz-rt-m-0930,7064.4,Radiant,9.3,D,Modified Brilliant,,,Lab Grown
Charles & Colvard,646601,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100383-g-zz-zzz-zz-rt-m-0930,6711.6,Radiant,9.3,E,Modified Brilliant,,,Lab Grown
Charles & Colvard,646602,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100383-g-zz-zzz-zz-rt-m-0930,6375.6,Radiant,9.3,F,Modified Brilliant,,,Lab Grown
Charles & Colvard,646603,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100383-g-zz-zzz-zz-rt-m-0930,6056.4,Radiant,9.3,G,Modified Brilliant,,,Lab Grown
Charles & Colvard,646570,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100381-g-zz-zzz-zz-em-m-0658,5040,Emerald,6.58,D,Step,,,Lab Grown
Charles & Colvard,646571,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100381-g-zz-zzz-zz-em-m-0658,4788,Emerald,6.58,E,Step,,,Lab Grown
Charles & Colvard,646572,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100381-g-zz-zzz-zz-em-m-0658,4548.6,Emerald,6.58,F,Step,,,Lab Grown
Charles & Colvard,646573,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100381-g-zz-zzz-zz-em-m-0658,4321.8,Emerald,6.58,G,Step,,,Lab Grown
Charles & Colvard,445330,https://www.charlesandcolvard.com/forever-one-moissanite-hearts-arrows-gemstone-100384-g-zz-zzz-zz-rd-m-0273,1180.9,Round,2.73,DEF,Hearts  Arrows,,,Lab Grown
Charles & Colvard,448990,https://www.charlesandcolvard.com/forever-one-moissanite-hearts-arrows-gemstone-100384-g-zz-zzz-zz-rd-m-0273,980,Round,2.73,GH,Hearts  Arrows,,,Lab Grown
Charles & Colvard,446131,https://www.charlesandcolvard.com/forever-one-2-40ctw-cushion-near-colorless-moissanite-gemstone-448284-100180-zz-zzz-zz-cu-m-0240,928.2,Cushion,2.4,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448283,https://www.charlesandcolvard.com/forever-one-2-40ctw-cushion-near-colorless-moissanite-gemstone-448284-100180-zz-zzz-zz-cu-m-0240,717.5,Cushion,2.4,GH,Brilliant,,,Lab Grown
Charles & Colvard,446132,https://www.charlesandcolvard.com/forever-one-2-80ctw-cushion-near-colorless-moissanite-gemstone-448285-100180-zz-zzz-zz-cu-m-0280,1096.2,Cushion,2.8,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448284,https://www.charlesandcolvard.com/forever-one-2-80ctw-cushion-near-colorless-moissanite-gemstone-448285-100180-zz-zzz-zz-cu-m-0280,837.2,Cushion,2.8,GH,Brilliant,,,Lab Grown
Charles & Colvard,446133,https://www.charlesandcolvard.com/forever-one-3-30ctw-cushion-near-colorless-moissanite-gemstone-448286-100180-zz-zzz-zz-cu-m-0330,1299.2,Cushion,3.3,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448285,https://www.charlesandcolvard.com/forever-one-3-30ctw-cushion-near-colorless-moissanite-gemstone-448286-100180-zz-zzz-zz-cu-m-0330,1015,Cushion,3.3,GH,Brilliant,,,Lab Grown
Charles & Colvard,446134,https://www.charlesandcolvard.com/forever-one-4-20ctw-cushion-near-colorless-moissanite-gemstone-448287-100180-zz-zzz-zz-cu-m-0420,1666,Cushion,4.2,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448286,https://www.charlesandcolvard.com/forever-one-4-20ctw-cushion-near-colorless-moissanite-gemstone-448287-100180-zz-zzz-zz-cu-m-0420,1258.6,Cushion,4.2,GH,Brilliant,,,Lab Grown
Charles & Colvard,446135,https://www.charlesandcolvard.com/forever-one-5-02ctw-cushion-near-colorless-moissanite-gemstone-462327-100180-zz-zzz-zz-cu-m-0502,1780.8,Cushion,5.02,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448287,https://www.charlesandcolvard.com/forever-one-5-02ctw-cushion-near-colorless-moissanite-gemstone-462327-100180-zz-zzz-zz-cu-m-0502,1418.9,Cushion,5.02,GH,Brilliant,,,Lab Grown
Charles & Colvard,446123,https://www.charlesandcolvard.com/forever-one-0-33ctw-cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0033,88.9,Cushion,0.33,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448275,https://www.charlesandcolvard.com/forever-one-0-33ctw-cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0033,71.4,Cushion,0.33,GH,Brilliant,,,Lab Grown
Charles & Colvard,446124,https://www.charlesandcolvard.com/forever-one-0-50ctw-cushion-colorless-moissanite-gemstone-446125-100180-zz-zzz-zz-cu-m-0050,137.2,Cushion,0.5,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448276,https://www.charlesandcolvard.com/forever-one-0-50ctw-cushion-colorless-moissanite-gemstone-446125-100180-zz-zzz-zz-cu-m-0050,108.5,Cushion,0.5,GH,Brilliant,,,Lab Grown
Charles & Colvard,446125,https://www.charlesandcolvard.com/forever-one-0-60ctw-cushion-colorless-moissanite-gemstone-446126-100180-zz-zzz-zz-cu-m-0060,190.4,Cushion,0.6,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448277,https://www.charlesandcolvard.com/forever-one-0-60ctw-cushion-colorless-moissanite-gemstone-446126-100180-zz-zzz-zz-cu-m-0060,150.5,Cushion,0.6,GH,Brilliant,,,Lab Grown
