Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Brilliant Earth,17943463A,https://www.brilliantearth.com/0.53-Ct.-Fancy-Intense-Pink-Emerald-Lab-Grown-Diamond-17943463A/,730,Emerald,0.53,pink,,VS1,,Lab Grown
Brilliant Earth,14692075A,https://www.brilliantearth.com/2.33-Ct.-Fancy-Intense-Yellow-Oval-Lab-Grown-Diamond-14692075A/,3560,Oval,2.33,yellow,,VS1,,Lab Grown
Brilliant Earth,17194129A,https://www.brilliantearth.com/0.57-Ct.-Fancy-Vivid-Pink-Pear-Lab-Grown-Diamond-17194129A/,790,Pear,0.57,pink,,VS1,,Lab Grown
Brilliant Earth,18462801A,https://www.brilliantearth.com/2.64-Ct.-Fancy-Vivid-Blue-Princess-Lab-Grown-Diamond-18462801A/,3520,Princess,2.64,blue,,VS1,,Lab Grown
Brilliant Earth,15033169A,https://www.brilliantearth.com/3.08-Ct.-Fancy-Vivid-Blue-Round-Lab-Grown-Diamond-15033169A/,4450,Round,3.08,blue,,VS1,,Lab Grown
Brilliant Earth,17945649A,https://www.brilliantearth.com/1.59-Ct.-Fancy-Intense-Pink-Emerald-Lab-Grown-Diamond-17945649A/,2960,Emerald,1.59,pink,,VVS2,,Lab Grown
Brilliant Earth,15537183Y,https://www.brilliantearth.com/3.04-Ct.-Fancy-Vivid-Blue-Oval-Lab-Grown-Diamond-15537183Y/,4270,Oval,3.04,blue,,VS1,,Lab Grown
Brilliant Earth,16092726A,https://www.brilliantearth.com/3.04-Ct.-Fancy-Intense-Pink-Cushion-Lab-Grown-Diamond-16092726A/,6760,Cushion,3.04,pink,,VS2,,Lab Grown
Brilliant Earth,17944497A,https://www.brilliantearth.com/0.55-Ct.-Fancy-Intense-Pink-Pear-Lab-Grown-Diamond-17944497A/,760,Pear,0.55,pink,,VS1,,Lab Grown
Brilliant Earth,15506925A,https://www.brilliantearth.com/3.05-Ct.-Fancy-Light-Brownish-Yellow-Cushion-Diamond-15506925A/,10410,Cushion,3.05,yellow,,VS2,,Lab Grown
Brilliant Earth,18463119A,https://www.brilliantearth.com/2.04-Ct.-Fancy-Intense-Pink-Princess-Lab-Grown-Diamond-18463119A/,3710,Princess,2.04,pink,,VS2,,Lab Grown
Brilliant Earth,14688299A,https://www.brilliantearth.com/2.58-Ct.-Fancy-Vivid-Pink-Round-Lab-Grown-Diamond-14688299A/,5120,Round,2.58,pink,,VVS2,,Lab Grown
