Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Fluorescence,Polish Grade,Symmetry Grade,Depth (%),Table,Girdle,Culet,Width,Height,Depth,Grading Lab,Grading Certificate ID,Grading Link,Origin,360 Video Link
Brilliant Earth,16860398A,https://www.brilliantearth.com/loose-diamonds/view_detail/72691387/,550,Round,0.25,D,Super Ideal,VS2,None,Excellent,Excellent,60.9,60,"Medium - Slightly Thick, Faceted",None,4.11,4.09,2.5,GIA,5546214495,https://www.gia.edu/report-check?reportno=5546214495,Mined,
Brilliant Earth,16962511A,https://www.brilliantearth.com/loose-diamonds/view_detail/72686555/,550,Round,0.27,F,Super Ideal,VS2,None,Excellent,Excellent,61.8,58,"Thin - Medium, Faceted",None,4.2,4.17,2.59,GIA,7542294326,https://www.gia.edu/report-check?reportno=7542294326,Mined,
Brilliant Earth,17214700A,https://www.brilliantearth.com/loose-diamonds/view_detail/72700170/,550,Round,0.28,H,Super Ideal,VVS1,None,Excellent,Excellent,60.2,60,"Medium - Slightly Thick, Faceted",None,4.3,4.28,2.58,GIA,2547412529,https://www.gia.edu/report-check?reportno=2547412529,Mined,
Brilliant Earth,16735241A,https://www.brilliantearth.com/loose-diamonds/view_detail/72764554/,550,Round,0.27,F,Super Ideal,VVS2,None,Excellent,Excellent,62.1,58,"Medium - Slightly Thick, Faceted",None,4.15,4.13,2.57,GIA,7543143865,https://www.gia.edu/report-check?reportno=7543143865,Mined,
Brilliant Earth,17104975A,https://www.brilliantearth.com/loose-diamonds/view_detail/72764544/,550,Round,0.27,F,Super Ideal,VVS2,None,Excellent,Excellent,62,58,"Medium - Slightly Thick, Faceted",None,4.18,4.16,2.59,GIA,6542345186,https://www.gia.edu/report-check?reportno=6542345186,Mined,
Brilliant Earth,15622122A,https://www.brilliantearth.com/loose-diamonds/view_detail/72680975/,550,Round,0.29,G,Super Ideal,VVS1,None,Excellent,Excellent,61.7,59,"Medium - Slightly Thick, Faceted",None,4.26,4.23,2.62,GIA,7536180127,https://www.gia.edu/report-check?reportno=7536180127,Mined,
Brilliant Earth,16556620A,https://www.brilliantearth.com/loose-diamonds/view_detail/60156141/,550,Pear,0.3,D,Very Good,VVS2,Faint,Excellent,Very Good,57.1,64,Medium - Very Thick,None,6.19,3.77,2.15,GIA,2534985692,https://www.gia.edu/report-check?reportno=2534985692,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=2534985692&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,13826478Y,https://www.brilliantearth.com/loose-diamonds/view_detail/53481810/,550,Princess,0.47,H,Ideal,VVS1,None,Excellent,Very Good,72.6,71,Slightly Thick - Thick,None,4.25,4.22,3.06,GIA,6515230353,https://www.gia.edu/report-check?reportno=6515230353,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6515230353&surl=//image.brilliantearth.com/media/v360/&version=16
Brilliant Earth,16828160A,https://www.brilliantearth.com/loose-diamonds/view_detail/73496277/,550,Round,0.28,G,Super Ideal,VVS1,None,Excellent,Excellent,60.7,59,"Medium - Slightly Thick, Faceted",None,4.24,4.21,2.56,GIA,6542182597,https://www.gia.edu/report-check?reportno=6542182597,Mined,
Brilliant Earth,17734862A,https://www.brilliantearth.com/loose-diamonds/view_detail/73995980/,550,Round,0.27,F,Super Ideal,VVS2,None,Excellent,Excellent,60.3,59,"Medium - Slightly Thick, Faceted",None,4.24,4.22,2.55,GIA,1549627868,https://www.gia.edu/report-check?reportno=1549627868,Mined,
